timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 21:29:02,58,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.89,854.94,0.98,0.99
2026-01-13 21:29:02,58,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,19562.13,0.01,0.02
2026-01-13 21:29:03,57,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2077.63,0.98,0.99
2026-01-13 21:29:03,57,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,19557.13,0.01,0.02
2026-01-13 21:29:04,56,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2092.84,0.98,0.99
2026-01-13 21:29:04,56,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,19516.7,0.01,0.02
2026-01-13 21:29:05,55,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2052.29,0.98,0.99
2026-01-13 21:29:05,55,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,19421.83,0.01,0.02
2026-01-13 21:29:06,54,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,17997.17,0.01,0.02
2026-01-13 21:29:06,54,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2052.29,0.98,0.99
2026-01-13 21:29:07,53,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2065.75,0.98,0.99
2026-01-13 21:29:07,53,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,17602.74,0.01,0.02
2026-01-13 21:29:08,52,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2065.75,0.98,0.99
2026-01-13 21:29:08,52,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,17400.67,0.01,0.02
2026-01-13 21:29:09,51,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.97,2249.74,0.98,0.99
2026-01-13 21:29:09,51,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,17090.67,0.01,0.02
2026-01-13 21:29:10,50,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.95,862.92,0.98,0.99
2026-01-13 21:29:10,50,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,16574.51,0.01,0.02
2026-01-13 21:29:11,49,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2065.75,0.98,0.99
2026-01-13 21:29:11,49,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,16536.15,0.01,0.02
2026-01-13 21:29:12,48,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.91,770,0.98,0.99
2026-01-13 21:29:12,48,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,15463.66,0.01,0.02
2026-01-13 21:29:13,47,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,14613.66,0.01,0.02
2026-01-13 21:29:13,47,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2407.73,0.98,0.99
2026-01-13 21:29:14,46,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2411.18,0.98,0.99
2026-01-13 21:29:14,46,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,13386.86,0.01,0.02
2026-01-13 21:29:15,45,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2381.18,0.98,0.99
2026-01-13 21:29:15,45,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,12914.7,0.01,0.02
2026-01-13 21:29:16,44,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2226.18,0.98,0.99
2026-01-13 21:29:16,44,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,12675.42,0.01,0.02
2026-01-13 21:29:17,43,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.97,2222.74,0.98,0.99
2026-01-13 21:29:17,43,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,11570.37,0.01,0.02
2026-01-13 21:29:18,42,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.97,2220.74,0.98,0.99
2026-01-13 21:29:18,42,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,10145.26,0.01,0.02
2026-01-13 21:29:19,41,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,3020.98,0.98,0.99
2026-01-13 21:29:19,41,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,10063.65,0.01,0.02
2026-01-13 21:29:20,40,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2893.16,0.98,0.99
2026-01-13 21:29:20,40,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,9760.63,0.01,0.02
2026-01-13 21:29:21,39,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,3013.21,0.98,0.99
2026-01-13 21:29:21,39,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,9030.61,0.01,0.02
2026-01-13 21:29:22,38,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.96,3318.99,0.98,0.99
2026-01-13 21:29:22,38,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,3925.23,0.01,0.02
2026-01-13 21:29:23,37,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2905.65,0.98,0.99
2026-01-13 21:29:23,37,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,2136.08,0.01,0.02
2026-01-13 21:29:24,36,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2762.41,0.98,0.99
2026-01-13 21:29:24,36,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,2083.96,0.01,0.02
2026-01-13 21:29:25,35,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,2699.42,0.98,0.99
2026-01-13 21:29:25,35,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,1722.57,0.01,0.02
2026-01-13 21:29:26,34,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,1496.71,0.01,0.02
2026-01-13 21:29:26,34,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.92,786.8,0.98,0.99
2026-01-13 21:29:27,33,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.98,3466.68,0.98,0.99
2026-01-13 21:29:27,33,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,967.44,0.01,0.02
2026-01-13 21:29:28,32,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.93,901.89,0.98,0.99
2026-01-13 21:29:28,32,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,DOWN,0.01,583.95,0.01,0.02
2026-01-13 21:29:29,31,"Bitcoin Up or Down - January 13, 8:15AM-8:30AM ET",price_change,UP,0.91,791,0.99,1
