event,outcome
"Bitcoin Up or Down - January 12, 8:45PM-9:00PM ET",U
"Bitcoin Up or Down - January 12, 9:00PM-9:15PM ET",U
"Bitcoin Up or Down - January 12, 9:15PM-9:30PM ET",D
"Bitcoin Up or Down - January 12, 9:30PM-9:45PM ET",D
"Bitcoin Up or Down - January 12, 9:45PM-10:00PM ET",U
"Bitcoin Up or Down - January 12, 10:00PM-10:15PM ET",U
"Bitcoin Up or Down - January 12, 10:15PM-10:30PM ET",U
"Bitcoin Up or Down - January 12, 10:30PM-10:45PM ET",D
"Bitcoin Up or Down - January 12, 10:45PM-11:00PM ET",U
"Bitcoin Up or Down - January 12, 11:00PM-11:15PM ET",U
"Bitcoin Up or Down - January 12, 11:15PM-11:30PM ET",U
"Bitcoin Up or Down - January 12, 11:30PM-11:45PM ET",D
"Bitcoin Up or Down - January 12, 11:45PM-12:00AM ET",U
"Bitcoin Up or Down - January 13, 12:00AM-12:15AM ET",U
"Bitcoin Up or Down - January 13, 12:15AM-12:30AM ET",U
"Bitcoin Up or Down - January 13, 12:30AM-12:45AM ET",D
"Bitcoin Up or Down - January 13, 12:45AM-1:00AM ET",D
"Bitcoin Up or Down - January 13, 1:00AM-1:15AM ET",U
"Bitcoin Up or Down - January 13, 1:15AM-1:30AM ET",D
"Bitcoin Up or Down - January 13, 1:30AM-1:45AM ET",U
"Bitcoin Up or Down - January 13, 1:45AM-2:00AM ET",U
"Bitcoin Up or Down - January 13, 2:00AM-2:15AM ET",D
"Bitcoin Up or Down - January 13, 2:15AM-2:30AM ET",D
"Bitcoin Up or Down - January 13, 2:30AM-2:45AM ET",D
"Bitcoin Up or Down - January 13, 2:45AM-3:00AM ET",U
"Bitcoin Up or Down - January 13, 3:00AM-3:15AM ET",U
"Bitcoin Up or Down - January 13, 3:15AM-3:30AM ET",D
"Bitcoin Up or Down - January 13, 3:30AM-3:45AM ET",U
"Bitcoin Up or Down - January 13, 3:45AM-4:00AM ET",U
"Bitcoin Up or Down - January 13, 4:00AM-4:15AM ET",U
"Bitcoin Up or Down - January 13, 4:15AM-4:30AM ET",U
"Bitcoin Up or Down - January 13, 4:30AM-4:45AM ET",D
"Bitcoin Up or Down - January 13, 4:45AM-5:00AM ET",U
"Bitcoin Up or Down - January 13, 5:00AM-5:15AM ET",D
"Bitcoin Up or Down - January 13, 5:15AM-5:30AM ET",U
"Bitcoin Up or Down - January 13, 5:30AM-5:45AM ET",D
"Bitcoin Up or Down - January 13, 5:45AM-6:00AM ET",U
