timestamp,time_left,event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-16 09:02:09,770,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.55,542.65,0.57,0.59
2026-01-16 09:02:09,770,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.41,123.65,0.41,0.43
2026-01-16 09:02:09,770,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.57,330.4,0.58,0.59
2026-01-16 09:02:10,770,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.15,98.67,0.58,0.59
2026-01-16 09:02:10,770,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.15,327,0.41,0.42
2026-01-16 09:02:11,769,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.41,58.03,0.41,0.42
2026-01-16 09:02:11,769,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.53,546.42,0.58,0.59
2026-01-16 09:02:12,768,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.35,260.05,0.41,0.42
2026-01-16 09:02:12,768,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.54,432.19,0.58,0.59
2026-01-16 09:02:13,767,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.56,499.18,0.59,0.6
2026-01-16 09:02:13,767,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.37,90.01,0.4,0.41
2026-01-16 09:02:14,766,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.55,556.65,0.6,0.61
2026-01-16 09:02:14,766,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.23,150,0.39,0.4
2026-01-16 09:02:14,765,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.6,371.83,0.6,0.61
2026-01-16 09:02:14,765,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.38,113.72,0.38,0.4
2026-01-16 09:02:14,765,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.58,319,0.6,0.62
2026-01-16 09:02:15,765,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.59,317.5,0.6,0.62
2026-01-16 09:02:15,765,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.12,270.98,0.38,0.39
2026-01-16 09:02:16,764,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.58,453.92,0.64,0.66
2026-01-16 09:02:16,764,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.35,24,0.35,0.36
2026-01-16 09:02:17,763,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.59,392.58,0.64,0.65
2026-01-16 09:02:17,763,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.35,81.69,0.35,0.36
2026-01-16 09:02:18,762,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,179.32,0.34,0.35
2026-01-16 09:02:18,762,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.65,123.95,0.65,0.66
2026-01-16 09:02:19,761,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,362.32,0.35,0.36
2026-01-16 09:02:19,761,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.59,454.5,0.64,0.65
