timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 23:29:32,28,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.47,418.31,0.47,0.48
2026-01-13 23:29:33,27,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.47,408.87,0.47,0.48
2026-01-13 23:29:34,27,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.44,2804,0.47,0.48
2026-01-13 23:29:35,26,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.49,2091.65,0.52,0.53
2026-01-13 23:29:35,26,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.43,2001,0.47,0.48
2026-01-13 23:29:36,25,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.01,16460.85,0.47,0.48
2026-01-13 23:29:36,25,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.01,16232.57,0.52,0.53
2026-01-13 23:29:37,23,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.43,389,0.52,0.53
2026-01-13 23:29:37,23,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.3,582.81,0.47,0.48
2026-01-13 23:29:38,23,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.52,2057.37,0.52,0.53
2026-01-13 23:29:38,22,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,4085.86,0.46,0.48
2026-01-13 23:29:39,21,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,4154.86,0.46,0.48
2026-01-13 23:29:39,21,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.02,1694.91,0.52,0.54
2026-01-13 23:29:40,20,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.47,6773.4,0.52,0.54
2026-01-13 23:29:40,20,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,3228.93,0.46,0.48
2026-01-13 23:29:41,20,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.01,16465.86,0.46,0.48
2026-01-13 23:29:41,20,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.01,16232.57,0.52,0.54
2026-01-13 23:29:42,19,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.35,605,0.52,0.54
2026-01-13 23:29:43,17,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.51,976,0.52,0.54
2026-01-13 23:29:44,16,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.52,2051.12,0.52,0.54
2026-01-13 23:29:45,15,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.47,6768.4,0.53,0.54
2026-01-13 23:29:45,15,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.02,1694.91,0.46,0.47
2026-01-13 23:29:46,14,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.46,3159.93,0.46,0.47
2026-01-13 23:29:46,14,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.49,2101.65,0.53,0.54
2026-01-13 23:29:47,14,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.43,3001,0.46,0.47
2026-01-13 23:29:47,13,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.53,14.35,0.53,0.54
2026-01-13 23:29:48,13,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.49,2091.65,0.53,0.54
2026-01-13 23:29:48,12,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.45,3134,0.46,0.47
2026-01-13 23:29:49,12,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,UP,0.44,1472,0.52,0.54
2026-01-13 23:29:49,11,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.45,2134,0.46,0.48
2026-01-13 23:29:50,11,"Bitcoin Up or Down - January 13, 10:30AM-10:45AM ET",price_change,DOWN,0.24,41,0.46,0.48
