timestamp,time_left,event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-15 09:04:27,632,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.08,3024.16,0.1,0.11
2026-01-15 09:04:27,632,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.58,1098.41,0.89,0.9
2026-01-15 09:04:28,632,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.07,1912.57,0.1,0.11
2026-01-15 09:04:28,632,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.88,1333.57,0.89,0.9
2026-01-15 09:04:29,631,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.07,1927.57,0.1,0.11
2026-01-15 09:04:29,631,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.87,2688.42,0.89,0.9
2026-01-15 09:04:30,630,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.04,1929.52,0.1,0.11
2026-01-15 09:04:30,630,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.87,3668.49,0.89,0.9
2026-01-15 09:04:31,629,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.85,1543.05,0.89,0.9
2026-01-15 09:04:31,629,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.06,1936.09,0.1,0.11
2026-01-15 09:04:32,628,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.08,2347.24,0.1,0.11
2026-01-15 09:04:32,628,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.85,1531.94,0.89,0.9
2026-01-15 09:04:33,627,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.06,1936.09,0.1,0.11
2026-01-15 09:04:33,627,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.85,1526.94,0.89,0.9
2026-01-15 09:04:34,626,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.06,1967.63,0.1,0.11
2026-01-15 09:04:34,626,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.89,1901.04,0.89,0.9
2026-01-15 09:04:35,625,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.06,1967.63,0.1,0.11
2026-01-15 09:04:35,625,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.87,3634.5,0.89,0.9
2026-01-15 09:04:36,624,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,DOWN,0.01,12211.17,0.1,0.11
2026-01-15 09:04:36,624,"Bitcoin Up or Down - January 14, 8:00PM-8:15PM ET",price_change,UP,0.89,4023.17,0.89,0.9
2026-01-15 09:04:40,619,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.37,960,0.48,0.49
2026-01-15 09:04:41,619,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.46,400,0.51,0.52
2026-01-15 09:04:42,618,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.5,5977.81,0.51,0.52
2026-01-15 09:04:43,617,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.15,2035,0.48,0.49
2026-01-15 09:04:44,616,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.1,2060,0.48,0.49
2026-01-15 09:04:45,614,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.45,4513,0.51,0.52
2026-01-15 09:04:49,610,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.4,1997.5,0.51,0.52
2026-01-15 09:04:49,610,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.1,2060,0.48,0.49
2026-01-15 09:04:50,610,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.1,2050,0.48,0.49
2026-01-15 09:04:51,609,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.34,769,0.48,0.49
2026-01-15 09:04:53,607,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.41,2224.82,0.51,0.52
2026-01-15 09:04:53,607,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.47,139,0.48,0.49
2026-01-15 09:04:54,606,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.51,1268.04,0.51,0.52
2026-01-15 09:04:54,605,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.41,3053.82,0.48,0.49
2026-01-15 09:04:55,604,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.1,2060,0.48,0.49
2026-01-15 09:05:00,600,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.46,1600,0.51,0.52
2026-01-15 09:05:00,600,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.46,316,0.48,0.49
2026-01-15 09:05:01,599,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.1,2060,0.48,0.49
2026-01-15 09:05:01,598,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.04,61.5,0.51,0.52
2026-01-15 09:05:02,598,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.4,1497.5,0.51,0.52
2026-01-15 09:05:02,598,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.35,7,0.48,0.49
2026-01-15 09:05:03,596,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.04,107.75,0.51,0.52
2026-01-15 09:05:03,596,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.04,107.75,0.48,0.49
2026-01-15 09:05:04,596,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.03,632.31,0.48,0.49
2026-01-15 09:05:04,596,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.03,652.31,0.51,0.52
2026-01-15 09:05:05,595,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.05,115.6,0.51,0.52
2026-01-15 09:05:05,594,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.48,19.53,0.48,0.49
2026-01-15 09:05:07,593,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.1,2060,0.48,0.49
2026-01-15 09:05:08,592,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,UP,0.48,9.53,0.48,0.49
2026-01-15 09:05:08,592,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.02,1292.01,0.51,0.52
2026-01-15 09:05:09,591,"Bitcoin Up or Down - January 14, 8:15PM-8:30PM ET",price_change,DOWN,0.07,69.13,0.51,0.52
